"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"1105098","FUTIND","BSESEN","FUTURE","25-Oct-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",7670,0,10,5,"BSE SENSEX","","","","",72147.7,88180.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8146015,"SENSEX"
"1161258","FUTIND","BSESEN","FUTURE","06-Dec-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",72662.6,88809.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8122475,"SENSEX"
"1124586","FUTIND","BANKEX","FUTURE","25-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,15,5,"BANKEX","","","","",52705.75,64418.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",5831151,"BANKEX"
"1126233","FUTIND","BSESEN","FUTURE","29-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",100,0,10,5,"BSE SENSEX","","","","",72899.95,89099.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8150030,"SENSEX"
"1135999","FUTIND","BSESEN","FUTURE","31-Oct-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",220,0,10,5,"BSE SENSEX","","","","",0,0,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8158370,"SENSEX"
"1135999","FUTIND","BSESEN","FUTURE","01-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",30,0,10,5,"BSE SENSEX","","","","",76409.95,93389.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8490000,"SENSEX"
"1137303","FUTIND","BANKEX","FUTURE","04-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",60,0,15,5,"BANKEX","","","","",52501.45,64168.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",5919562,"BANKEX"
"1140488","FUTIND","BSESEN","FUTURE","08-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",10,0,10,5,"BSE SENSEX","","","","",72631.05,88771.3,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8154085,"SENSEX"
"1141518","FUTIND","BANKEX","FUTURE","11-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,15,5,"BANKEX","","","","",52569.5,64251.65,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6134941,"BANKEX"
"1146678","FUTIND","BSESEN","FUTURE","14-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",72367.55,88449.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8160165,"SENSEX"
