instrumentToken,instrumentName,name,lastPrice,expiry,strike,tickSize,lotSize,instrumentType,segment,exchange,isin,multiplier,exchangeToken,OptionType
9516,20MICRONS,20 Microns Ltd,73.85,0,0,0.050000,1,EQ,CASH,NSE,INE144J01027,1,16921,-
43865,3IINFOLTD,3i Infotech Ltd,51.25,0,0,0.050000,1,EQ,CASH,NSE,INE748C01038,1,6232,-
891,3MINDIA,3M India Ltd,19697.3,0,0,0.050000,1,EQ,CASH,NSE,INE470A01017,1,474,-
607,3PLAND,3P Land Holdings Ltd,14.5,0,0,0.050000,1,EQ,CASH,NSE,INE105C01023,1,2595,-
13140,5PAISA,5Paisa Capital Ltd,344.7,0,0,0.050000,1,EQ,CASH,NSE,INE618L01018,1,445,-
10586,A2ZINFRA,A2Z Infra Engineering Ltd,9.65,0,0,0.050000,1,EQ,CASH,NSE,INE619I01012,1,20906,-
94320,AAKASH,Aakash Exploration Services Ltd,24.85,0,0,0.050000,1,EQ,CASH,NSE,INE087Z01024,1,235,-
16680,AREYDRG,Aarey Drugs & Pharmaceuticals Ltd,41.45,0,0,0.050000,1,EQ,CASH,NSE,INE198H01019,1,5245,-
15947,AARON,Aaron Industries Ltd,113.45,0,0,0.050000,1,EQ,CASH,NSE,INE721Z01010,1,1030,-
717,AARTIDRUGS,Aarti Drugs Ltd,429.1,0,0,0.050000,1,EQ,CASH,NSE,INE767A01016,1,4481,-
411,AARTIIND,Aarti Industries Ltd,956.65,0,0,0.050000,1,EQ,CASH,NSE,INE769A01020,1,7,-
27206,AARTISURF,Aarti Surfactants Ltd,750.8,0,0,0.050000,1,EQ,CASH,NSE,INE09EO01013,1,19233,-
4968,AARVEEDEN,Aarvee Denims & Exports Ltd,23.85,0,0,0.050000,1,EQ,CASH,NSE,INE273D01019,1,13771,-
5038,AARVI,Aarvi Encon Ltd,115.9,0,0,0.050000,1,EQ,CASH,NSE,INE754X01016,1,19073,-
109230,AAVAS,AAVAS Financiers Ltd,2569.45,0,0,0.050000,1,EQ,CASH,NSE,INE216P01012,1,5385,-
413,ABAN,Aban Offshore Ltd,46.15,0,0,0.050000,1,EQ,CASH,NSE,INE421A01028,1,10,-
720,ABB,ABB India Ltd,2157.95,0,0,0.050000,1,EQ,CASH,NSE,INE117A01022,1,13,-
904,ABBOTINDIA,Abbott India Ltd,17702.85,0,0,0.050000,1,EQ,CASH,NSE,INE358A01014,1,17903,-
727,ACC,ACC Ltd,2151.35,0,0,0.050000,1,EQ,CASH,NSE,INE012A01025,1,22,-
2574,ACCELYA,Accelya Solutions India Ltd,928,0,0,0.050000,1,EQ,CASH,NSE,INE793A01012,1,7053,-
27632,ACCURACY,Accuracy Shipping Ltd,240.5,0,0,0.050000,1,EQ,CASH,NSE,INE648Z01015,1,1465,-
14111,ACRYSIL,Acrysil Ltd,829.65,0,0,0.050000,1,EQ,CASH,NSE,INE482D01024,1,1879,-
8244,ACE,Action Construction Equipment Ltd,240.5,0,0,0.050000,1,EQ,CASH,NSE,INE731H01025,1,13587,-
729,ADANIENT,Adani Enterprises Ltd,2014.75,0,0,0.050000,1,EQ,CASH,NSE,INE423A01024,1,25,-
14443,ADANIGREEN,Adani Green Energy Ltd,1914.7,0,0,0.050000,1,EQ,CASH,NSE,INE364U01010,1,3563,-
9077,ADANIPORTS,Adani Ports & Special Economic Zone Ltd,774.2,0,0,0.050000,1,EQ,CASH,NSE,INE742F01042,1,15083,-
9907,ADANIPOWER,Adani Power Ltd,185.1,0,0,0.050000,1,EQ,CASH,NSE,INE814H01011,1,17388,-
113066,ATGL,Adani Total Gas Ltd,2149.8,0,0,0.050000,1,EQ,CASH,NSE,INE399L01023,1,6066,-
14878,ADANITRANS,Adani Transmission Ltd,2368.15,0,0,0.050000,1,EQ,CASH,NSE,INE931S01010,1,10217,-
13567,AWL,Adani Wilmar Ltd,516.9,0,0,0.050000,1,EQ,CASH,NSE,INE699H01024,1,8110,-
759,ADFFOODS,ADF Foods Ltd,778.25,0,0,0.050000,1,EQ,CASH,NSE,INE982B01019,1,19761,-
21078,ABCAPITAL,Aditya Birla Capital Ltd,107.65,0,0,0.050000,1,EQ,CASH,NSE,INE674K01013,1,21614,-
11691,ABFRL,Aditya Birla Fashion & Retail Ltd,302.1,0,0,0.050000,1,EQ,CASH,NSE,INE647O01011,1,30108,-
7416,BIRLAMONEY,Aditya Birla Money Ltd,60.2,0,0,0.050000,1,EQ,CASH,NSE,INE865C01022,1,15239,-
24427,ABSLAMC,Aditya Birla Sun Life AMC Ltd,533.85,0,0,0.050000,1,EQ,CASH,NSE,INE404A01024,1,6018,-
14312,ABSLBANETF,Aditya Birla Sun Life Banking ETF,36.22,0,0,0.010000,1,EQ,CASH,NSE,INF209KB17D5,1,13987,-
10745,BSLGOLDETF,Aditya Birla Sun Life Gold ETF,46.51,0,0,0.010000,1,EQ,CASH,NSE,INF209KB18D3,1,23804,-
10809,BSLNIFTY,Aditya Birla Sun Life Nifty ETF,19.39,0,0,0.010000,1,EQ,CASH,NSE,INF209KB19D1,1,24781,-
12011,HEALTHY,Aditya Birla Sun Life NIFTY Healthcare ETF,8.49,0,0,0.010000,1,EQ,CASH,NSE,INF209KB10C2,1,6297,-
12333,TECH,Aditya Birla Sun Life Nifty IT ETF,36.2,0,0,0.010000,1,EQ,CASH,NSE,INF209KB11D8,1,6462,-
18003,ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF,42.14,0,0,0.010000,1,EQ,CASH,NSE,INF209KB16D7,1,7339,-
12197,BSLSENETFG,Aditya Birla Sun Life Sensex ETF,56.1,0,0,0.010000,1,EQ,CASH,NSE,INF209KB10E8,1,5957,-
3252,SILVER,Aditya Birla Sun Life Silver ETF,68.73,0,0,0.010000,1,EQ,CASH,NSE,INF209KB19F6,1,8003,-
732,ADORWELD,Ador Welding Ltd,621.9,0,0,0.050000,1,EQ,CASH,NSE,INE045A01017,1,34,-
96,ADROITINFO,Adroit Infotech Ltd,11.35,0,0,0.050000,1,EQ,CASH,NSE,INE737B01033,1,4953,-
76572,ADVENZYMES,Advanced Enzyme Technologies Ltd,282.1,0,0,0.050000,1,EQ,CASH,NSE,INE837H01020,1,18039,-
1811,ADVANIHOTR,Advani Hotels & Resorts (India) Ltd,91.3,0,0,0.050000,1,EQ,CASH,NSE,INE199C01026,1,14745,-
734,AEGISCHEM,Aegis Logistics Ltd,205.55,0,0,0.050000,1,EQ,CASH,NSE,INE208C01025,1,40,-
13693,AFFLE,Affle India Ltd,1260.05,0,0,0.050000,1,EQ,CASH,NSE,INE00WC01027,1,11343,-
198399,AGARIND,Agarwal Industrial Corporation Ltd,674.5,0,0,0.050000,1,EQ,CASH,NSE,INE204E01012,1,3389,-
139923,AGRITECH,Agri-Tech (India) Ltd,123.15,0,0,0.050000,1,EQ,CASH,NSE,INE449G01018,1,11072,-
12348,AGROPHOS,Agro Phos India Ltd,23.1,0,0,0.050000,1,EQ,CASH,NSE,INE740V01019,1,9046,-
1409,ATFL,Agro Tech Foods Ltd,838.8,0,0,0.050000,1,EQ,CASH,NSE,INE209A01019,1,1663,-
11947,AGSTRA,AGS Transact Technologies Ltd,100.2,0,0,0.050000,1,EQ,CASH,NSE,INE583L01014,1,7927,-
1216,AHLADA,Ahlada Engineers Ltd,100.6,0,0,0.050000,1,EQ,CASH,NSE,INE00PV01013,1,2004,-
8695,AHLUCONT,Ahluwalia Contracts (India) Ltd,471.05,0,0,0.050000,1,EQ,CASH,NSE,INE758C01029,1,17833,-
7667,AIAENG,AIA Engineering Ltd,1622.7,0,0,0.050000,1,EQ,CASH,NSE,INE212H01026,1,13086,-
15528,AIRAN,Airan Ltd,18.1,0,0,0.050000,1,EQ,CASH,NSE,INE645W01026,1,9897,-
5361,AIROLAM,Airo Lam Ltd,68.5,0,0,0.050000,1,EQ,CASH,NSE,INE801L01010,1,6068,-
2964,AJANTPHARM,Ajanta Pharma Ltd,1810.75,0,0,0.050000,1,EQ,CASH,NSE,INE031B01049,1,8124,-
197,AJMERA,Ajmera Realty & Infra India Ltd,327.15,0,0,0.050000,1,EQ,CASH,NSE,INE298G01027,1,17307,-
25449,AJOONI,Ajooni Biotech Ltd,67.3,0,0,0.050000,1,EQ,CASH,NSE,INE820Y01013,1,3403,-
9299,AJRINFRA,AJR Infra & Tolling Ltd,1.85,0,0,0.050000,1,EQ,CASH,NSE,INE181G01025,1,15389,-
12221,AKASH,Akash Infraprojects Ltd,62.6,0,0,0.050000,1,EQ,CASH,NSE,INE737W01013,1,13510,-
33959,AKG,AKG Exim Ltd,37.5,0,0,0.050000,1,EQ,CASH,NSE,INE00Y801016,1,2176,-
3288,AKSHOPTFBR,Aksh Optifibre Ltd,10,0,0,0.050000,1,EQ,CASH,NSE,INE523B01011,1,8591,-
34861,AKSCHEM,AksharChem (India) Ltd,348.9,0,0,0.050000,1,EQ,CASH,NSE,INE542B01011,1,20178,-
1321,AKZOINDIA,Akzo Nobel India Ltd,1908.55,0,0,0.050000,1,EQ,CASH,NSE,INE133A01011,1,1467,-
20005,ALANKIT,Alankit Ltd,13.25,0,0,0.050000,1,EQ,CASH,NSE,INE914E01040,1,9921,-
13506,ALBERTDA,Albert David Ltd,530.7,0,0,0.050000,1,EQ,CASH,NSE,INE155C01010,1,17256,-
321,ALEMBICLTD,Alembic Ltd,72.45,0,0,0.050000,1,EQ,CASH,NSE,INE426A01027,1,79,-
10949,APLLTD,Alembic Pharmaceuticals Ltd,741.6,0,0,0.050000,1,EQ,CASH,NSE,INE901L01018,1,25328,-
6000,ALICON,Alicon Castalloy Ltd,660.9,0,0,0.050000,1,EQ,CASH,NSE,INE062D01024,1,13656,-
9527,ALKALI,Alkali Metals Ltd,79.3,0,0,0.050000,1,EQ,CASH,NSE,INE773I01017,1,16959,-
13482,ALKEM,Alkem Laboratories Ltd,3620.7,0,0,0.050000,1,EQ,CASH,NSE,INE540L01014,1,11703,-
750,ALKYLAMINE,Alkyl Amines Chemicals Ltd,2858.55,0,0,0.050000,1,EQ,CASH,NSE,INE150B01039,1,4487,-
8144,ALLCARGO,Allcargo Logistics Ltd,358.4,0,0,0.050000,1,EQ,CASH,NSE,INE418H01029,1,13501,-
8884,ADSL,Allied Digital Services Ltd,114.55,0,0,0.050000,1,EQ,CASH,NSE,INE102I01027,1,14813,-
4309,ALLSEC,Allsec Technologies Ltd,521.8,0,0,0.050000,1,EQ,CASH,NSE,INE835G01018,1,11798,-
6127,ALMONDZ,Almondz Global Securities Ltd,98.2,0,0,0.050000,1,EQ,CASH,NSE,INE326B01027,1,16719,-
417,ALOKINDS,Alok Industries Ltd,25.35,0,0,0.050000,1,EQ,CASH,NSE,INE270A01029,1,17675,-
8898,ALPA,Alpa Laboratories Ltd,69.7,0,0,0.050000,1,EQ,CASH,NSE,INE385I01010,1,14848,-
5550,ALPHAGEO,Alphageo (India) Ltd,309.55,0,0,0.050000,1,EQ,CASH,NSE,INE137C01018,1,14597,-
315,ALPSINDUS,Alps Industries Ltd,3.3,0,0,0.050000,1,EQ,CASH,NSE,INE093B01015,1,4060,-
755,AMARAJABAT,Amara Raja Batteries Ltd,536.4,0,0,0.050000,1,EQ,CASH,NSE,INE885A01032,1,100,-
88290,AMBER,Amber Enterprises India Ltd,3523.25,0,0,0.050000,1,EQ,CASH,NSE,INE371P01015,1,1185,-
4085,AMBICAAGAR,Ambica Agarbathies Aroma & Industries Ltd,26.45,0,0,0.050000,1,EQ,CASH,NSE,INE792B01012,1,11496,-
6432,AMBIKCO,Ambika Cotton Mills Ltd,2356.3,0,0,0.050000,1,EQ,CASH,NSE,INE540G01014,1,15234,-
1230,AMBUJACEM,Ambuja Cements Ltd,299.25,0,0,0.050000,1,EQ,CASH,NSE,INE079A01024,1,1270,-
8692,AMDIND,AMD Industries Ltd,45.85,0,0,0.050000,1,EQ,CASH,NSE,INE005I01014,1,14398,-
34570,AMIORG,Ami Organics Ltd,1002.25,0,0,0.050000,1,EQ,CASH,NSE,INE00FF01017,1,5578,-
609,AMJLAND,AMJ Land Holdings Ltd,30.9,0,0,0.050000,1,EQ,CASH,NSE,INE606A01024,1,2598,-
6678,AMRUTANJAN,Amrutanjan Health Care Ltd,794.6,0,0,0.050000,1,EQ,CASH,NSE,INE098F01031,1,17547,-
13234,ANANDRATHI,Anand Rathi Wealth Ltd,606.3,0,0,0.050000,1,EQ,CASH,NSE,INE463V01026,1,7145,-
5006,ANANTRAJ,Anant Raj Ltd,65.9,0,0,0.050000,1,EQ,CASH,NSE,INE242C01024,1,13620,-
7142,ANDHRACEMT,Andhra Cements Ltd,14.65,0,0,0.050000,1,EQ,CASH,NSE,INE666E01012,1,20419,-
777,ANDHRAPAP,Andhra Paper Ltd,294.7,0,0,0.050000,1,EQ,CASH,NSE,INE435A01028,1,166,-
248,ANDHRSUGAR,Andhra Sugars Ltd,152.9,0,0,0.050000,1,EQ,CASH,NSE,INE715B01021,1,136,-
31499,ANDREWYU,Andrew Yule & Company Ltd,20.2,0,0,0.050000,1,EQ,CASH,NSE,INE449C01025,1,5206,-
12962,ANGELONE,Angel One Ltd,1536.75,0,0,0.050000,1,EQ,CASH,NSE,INE732I01013,1,324,-
1619,ANIKINDS,Anik Industries Ltd,28.65,0,0,0.050000,1,EQ,CASH,NSE,INE087B01017,1,16657,-
83221,APCL,Anjani Portland Cement Ltd,233.35,0,0,0.050000,1,EQ,CASH,NSE,INE071F01012,1,20453,-
8861,ANKITMETAL,Ankit Metal & Power Ltd,8.95,0,0,0.050000,1,EQ,CASH,NSE,INE106I01010,1,29430,-
15050,ANMOL,Anmol India Ltd,200.45,0,0,0.050000,1,EQ,CASH,NSE,INE02AR01019,1,3727,-
698,ANSALHSG,Ansal Housing Ltd,6.95,0,0,0.050000,1,EQ,CASH,NSE,INE880B01015,1,13673,-
767,ANSALAPI,Ansal Properties & Infrastructure Ltd,13.35,0,0,0.050000,1,EQ,CASH,NSE,INE436A01026,1,148,-
24709,AWHCL,Antony Waste Handling Cell Ltd,260.1,0,0,0.050000,1,EQ,CASH,NSE,INE01BK01022,1,1797,-
11968,ANURAS,Anupam Rasayan India Ltd,824.45,0,0,0.050000,1,EQ,CASH,NSE,INE930P01018,1,2829,-
4082,APARINDS,Apar Industries Ltd,649.25,0,0,0.050000,1,EQ,CASH,NSE,INE372A01015,1,11491,-
773,APCOTEXIND,Apcotex Industries Ltd,358.9,0,0,0.050000,1,EQ,CASH,NSE,INE116A01032,1,154,-
87434,APEX,Apex Frozen Foods Ltd,278.6,0,0,0.050000,1,EQ,CASH,NSE,INE346W01013,1,21623,-
8355,APLAPOLLO,APL Apollo Tubes Ltd,914.6,0,0,0.050000,1,EQ,CASH,NSE,INE702C01027,1,25780,-
775,APOLLOHOSP,Apollo Hospitals Enterprise Ltd,4516.1,0,0,0.050000,1,EQ,CASH,NSE,INE437A01024,1,157,-
19535,APOLLO,Apollo Micro Systems Ltd,118.6,0,0,0.050000,1,EQ,CASH,NSE,INE713T01010,1,1134,-
107326,APOLLOPIPES,Apollo Pipes Ltd,485,0,0,0.050000,1,EQ,CASH,NSE,INE126J01016,1,14361,-
50654,APOLSINHOT,Apollo Sindoori Hotels Ltd,818.05,0,0,0.050000,1,EQ,CASH,NSE,INE451F01024,1,6302,-
421,APOLLOTYRE,Apollo Tyres Ltd,191,0,0,0.050000,1,EQ,CASH,NSE,INE438A01022,1,163,-
3900,APTECHT,Aptech Ltd,340.45,0,0,0.050000,1,EQ,CASH,NSE,INE266F01018,1,10755,-
12824,APTUS,Aptus Value Housing Finance India Ltd,340.55,0,0,0.050000,1,EQ,CASH,NSE,INE852O01025,1,5435,-
9410,ARCHIDPLY,Archidply Industries Ltd,38.9,0,0,0.050000,1,EQ,CASH,NSE,INE877I01016,1,16795,-
705,ARCHIES,Archies Ltd,17.75,0,0,0.050000,1,EQ,CASH,NSE,INE731A01020,1,5688,-
9197,ARIES,Aries Agro Ltd,136.4,0,0,0.050000,1,EQ,CASH,NSE,INE298I01015,1,15204,-
28675,ARIHCAPM,Arihant Capital Markets Ltd,396.9,0,0,0.050000,1,EQ,CASH,NSE,INE420B01028,1,3813,-
34860,ASL,Arihant Superstructures Ltd,131.25,0,0,0.050000,1,EQ,CASH,NSE,INE643K01018,1,20159,-
13524,ARMANFIN,Arman Financial Services Ltd,990.9,0,0,0.050000,1,EQ,CASH,NSE,INE109C01017,1,17263,-
4943,AROGRANITE,Aro Granite Industries Ltd,54.55,0,0,0.050000,1,EQ,CASH,NSE,INE210C01013,1,14557,-
14689,ARROWGREEN,Arrow Greentech Ltd,104.65,0,0,0.050000,1,EQ,CASH,NSE,INE570D01018,1,9260,-
4511,ARSHIYA,Arshiya Ltd,28.9,0,0,0.050000,1,EQ,CASH,NSE,INE968D01022,1,17821,-
10180,ARSSINFRA,ARSS Infrastructure Projects Ltd,23.8,0,0,0.050000,1,EQ,CASH,NSE,INE267I01010,1,18202,-
37169,ARTNIRMAN,Art Nirman Ltd,97,0,0,0.050000,1,EQ,CASH,NSE,INE738V01013,1,6156,-
17481,ARTEMISMED,Artemis Medicare Services Ltd,45.9,0,0,0.050000,1,EQ,CASH,NSE,INE025R01021,1,16913,-
12351,ARVINDFASN,Arvind Fashions Ltd,283.85,0,0,0.050000,1,EQ,CASH,NSE,INE955V01021,1,9111,-
784,ARVIND,Arvind Ltd,115.45,0,0,0.050000,1,EQ,CASH,NSE,INE034A01011,1,193,-
12483,ARVSMART,Arvind SmartSpaces Ltd,204.85,0,0,0.050000,1,EQ,CASH,NSE,INE034S01021,1,10457,-
215,ASAHIINDIA,Asahi India Glass Ltd,431,0,0,0.050000,1,EQ,CASH,NSE,INE439A01020,1,5378,-
8799,ASAHISONG,Asahi Songwon Colors Ltd,285.3,0,0,0.050000,1,EQ,CASH,NSE,INE228I01012,1,25088,-
429,ASHAPURMIN,Ashapura Minechem Ltd,127.7,0,0,0.050000,1,EQ,CASH,NSE,INE348A01023,1,203,-
5349,ASHIANA,Ashiana Housing Ltd,136.65,0,0,0.050000,1,EQ,CASH,NSE,INE365D01021,1,24403,-
786,ASHIMASYN,Ashima Ltd,14.15,0,0,0.050000,1,EQ,CASH,NSE,INE440A01010,1,206,-
790,ASHOKLEY,Ashok Leyland Ltd,117.25,0,0,0.050000,1,EQ,CASH,NSE,INE208A01029,1,212,-
10475,ASHOKA,Ashoka Buildcon Ltd,85.8,0,0,0.050000,1,EQ,CASH,NSE,INE442H01029,1,20182,-
14550,ASIANENE,Asian Energy Services Ltd,114.3,0,0,0.050000,1,EQ,CASH,NSE,INE276G01015,1,7030,-
8927,ASIANTILES,Asian Granito India Ltd,99.15,0,0,0.050000,1,EQ,CASH,NSE,INE022I01019,1,14889,-
